resume,jd_file,similarity_score
resume_software_engineer_6.txt,jd_software_engineer_1.txt,0.113
resume_software_engineer_6.txt,jd_software_engineer_2.txt,0.091
resume_software_engineer_6.txt,jd_software_engineer_3.txt,0.067
resume_software_engineer_6.txt,jd_software_engineer_4.txt,0.059
resume_software_engineer_6.txt,jd_software_engineer_5.txt,0.051
resume_software_engineer_6.txt,jd_software_engineer_6.txt,0.043
resume_software_engineer_7.txt,jd_data_science_1.txt,0.101
resume_software_engineer_7.txt,jd_data_science_2.txt,0.074
resume_software_engineer_7.txt,jd_data_science_3.txt,0.1
resume_software_engineer_7.txt,jd_data_science_4.txt,0.08
resume_software_engineer_7.txt,jd_data_science_5.txt,0.087
resume_software_engineer_7.txt,jd_finance_1.txt,0.06
resume_software_engineer_7.txt,jd_finance_2.txt,0.04
resume_software_engineer_7.txt,jd_finance_3.txt,0.099
resume_software_engineer_7.txt,jd_finance_4.txt,0.037
resume_software_engineer_7.txt,jd_project_management_1.txt,0.04
resume_software_engineer_7.txt,jd_project_management_2.txt,0.103
resume_software_engineer_7.txt,jd_project_management_3.txt,0.06
resume_software_engineer_7.txt,jd_project_management_4.txt,0.085
resume_software_engineer_7.txt,jd_project_management_5.txt,0.054
resume_software_engineer_7.txt,jd_sales_1.txt,0.02
resume_software_engineer_7.txt,jd_sales_2.txt,0.045
resume_software_engineer_7.txt,jd_sales_3.txt,0.051
resume_software_engineer_7.txt,jd_sales_4.txt,0.062
resume_software_engineer_7.txt,jd_sales_5.txt,0.019
resume_software_engineer_7.txt,jd_sales_6.txt,0.03
resume_software_engineer_7.txt,jd_software_engineer_1.txt,0.072
resume_software_engineer_7.txt,jd_software_engineer_2.txt,0.088
resume_software_engineer_7.txt,jd_software_engineer_3.txt,0.362
resume_software_engineer_7.txt,jd_software_engineer_4.txt,0.105
resume_software_engineer_7.txt,jd_software_engineer_5.txt,0.103
resume_software_engineer_7.txt,jd_software_engineer_6.txt,0.062
resume_software_engineer_8.txt,jd_data_science_1.txt,0.093
resume_software_engineer_8.txt,jd_data_science_2.txt,0.055
resume_software_engineer_8.txt,jd_data_science_3.txt,0.1
resume_software_engineer_8.txt,jd_data_science_4.txt,0.078
resume_software_engineer_8.txt,jd_data_science_5.txt,0.084
resume_software_engineer_8.txt,jd_finance_1.txt,0.048
resume_software_engineer_8.txt,jd_finance_2.txt,0.031
resume_software_engineer_8.txt,jd_finance_3.txt,0.098
resume_software_engineer_8.txt,jd_finance_4.txt,0.041
resume_software_engineer_8.txt,jd_project_management_1.txt,0.042
resume_software_engineer_8.txt,jd_project_management_2.txt,0.109
resume_software_engineer_8.txt,jd_project_management_3.txt,0.088
resume_software_engineer_8.txt,jd_project_management_4.txt,0.076
resume_software_engineer_8.txt,jd_project_management_5.txt,0.033
resume_software_engineer_8.txt,jd_sales_1.txt,0.024
resume_software_engineer_8.txt,jd_sales_2.txt,0.03
resume_software_engineer_8.txt,jd_sales_3.txt,0.035
resume_software_engineer_8.txt,jd_sales_4.txt,0.048
resume_software_engineer_8.txt,jd_sales_5.txt,0.029
resume_software_engineer_8.txt,jd_sales_6.txt,0.013
resume_software_engineer_8.txt,jd_software_engineer_1.txt,0.067
resume_software_engineer_8.txt,jd_software_engineer_2.txt,0.062
resume_software_engineer_8.txt,jd_software_engineer_3.txt,0.223
resume_software_engineer_8.txt,jd_software_engineer_4.txt,0.107
resume_software_engineer_8.txt,jd_software_engineer_5.txt,0.087
resume_software_engineer_8.txt,jd_software_engineer_6.txt,0.035
